Variable,Coefficient,P-Value,Significant
jbena14,-15.0,0.0,True
antonioarenas,-10.5,0.2,False
villuqo,-8.1,0.0,True
andionrubia,-6.9,0.1,False
pick_15,-6.6,0.0,True
foleyforo,-5.0,0.2,False
pick_14,-3.7,0.3,False
pick_10,-3.5,0.3,False
pick_9,-2.3,0.5,False
javimgol,-2.2,0.7,False
caprichitos,-2.2,0.5,False
pick_5,-2.1,0.5,False
aldrin,-1.6,0.7,False
pick_8,-1.5,0.7,False
pick_18,-1.5,0.7,False
pick_19,-0.9,0.8,False
pick_17,-0.9,0.8,False
pick_3,-0.5,0.9,False
pereziii,-0.3,1.0,False
pick_13,-0.0,1.0,False
willye,0.4,0.9,False
pick_2,0.6,0.9,False
antonio_grito,0.6,0.9,False
pegalajar,0.7,0.9,False
pick_4,1.1,0.7,False
therosende,1.3,0.7,False
pick_7,1.7,0.6,False
19peter90,1.8,0.6,False
abel fuego,1.8,0.7,False
franmoro,2.1,0.8,False
pick_1,2.2,0.5,False
pick_11,2.3,0.5,False
jaumenaveira,2.3,0.5,False
danidelacuesta,2.7,0.4,False
pick_12,3.2,0.4,False
pablofg_,4.0,0.2,False
pick_16,4.0,0.2,False
migquintana,4.5,0.4,False
pick_6,4.6,0.2,False
mariscalpaquillo,5.1,0.3,False
luckysori,5.8,0.1,False
calotejon,6.3,0.1,False
sovozca,6.5,0.1,False
a_andres,7.2,0.0,True
tinik,8.6,0.1,False
iarchondo,10.0,0.0,True
Intercept,28.8,0.0,True
