User,times_in_playoffs,times_played,total_games_played,win_percentage,total_wins,total_losses,average_score,highest_score,lowest_score,highest_position,lowest_position
iarchondo,7,7,416,66.6,276,140,210.5,229.3,198.1,1,8
sovozca,3,7,416,60.4,252,164,202.2,215.5,184.3,2,11
tinik,3,3,180,60.0,108,72,202.4,221.6,181.7,4,6
mariscalpaquillo,1,3,173,59.9,104,69,134.9,209.5,3.0,2,9
a_andres,4,7,416,59.3,245,171,201.0,220.6,184.6,1,17
calotejon,4,7,416,58.2,242,174,198.7,214.1,187.9,2,13
luckysori,4,7,416,57.8,240,176,199.5,224.0,184.6,1,15
danidelacuesta,4,7,416,56.0,232,184,196.9,217.9,177.2,1,20
pablofg_,4,7,416,55.3,231,185,195.5,211.3,179.3,4,13
jaumenaveira,3,7,416,52.2,220,196,191.2,208.4,169.0,1,17
migquintana,1,3,186,51.6,96,90,189.0,198.0,173.0,4,12
19peter90,3,6,356,51.4,186,170,187.9,206.6,158.8,2,19
pegalajar,1,4,230,50.6,116,114,200.3,206.4,195.4,4,17
therosende,2,7,416,50.2,207,209,189.6,209.1,172.1,3,18
franmoro,0,1,60,50.0,30,30,193.5,193.5,193.5,12,12
pereziii,1,2,110,48.8,55,55,193.4,197.8,189.1,5,15
antonio_grito,2,7,416,48.6,201,215,191.6,218.0,163.3,6,19
abel fuego,1,3,186,48.5,90,96,185.2,209.2,171.7,8,15
willye,1,2,126,47.6,60,66,181.7,190.8,172.6,7,15
caprichitos,1,7,416,45.9,189,227,184.2,201.2,166.7,5,16
javimgol,0,2,126,44.4,56,70,172.6,182.3,162.8,14,14
aldrin,2,7,416,43.5,184,232,183.0,214.6,151.0,3,20
andionrubia,2,4,230,41.3,93,137,181.8,200.7,145.1,7,18
foleyforo,1,5,290,38.6,112,178,180.0,205.6,167.9,7,19
antonioarenas,0,1,60,36.7,22,38,176.2,176.2,176.2,18,18
villuqo,1,7,416,31.9,133,283,144.9,198.3,3.0,5,20
jbena14,0,7,416,26.0,108,308,159.7,199.5,126.4,9,20
paumarting,0,1,63,19.0,12,51,158.1,158.1,158.1,19,19
